ID,Nome,Matricula,Turma,Curso,Semestre,Age,GPA,Attendance_Rate,Study_Hours_per_Day,Travel_Time_Minutes,Stress_Index,Gender_Male,Dropout,Nivel_Risco,Probabilidade_Risco,Recomendacoes,Data_Referencia
1,Bruno Pereira Almeida,202410061,2A,Contabilidade,2024.2,34,8.13,92.1,3.55,32.2,6,1,0,BAIXO,20,Manter acompanhamento preventivo,2025-12-05
2,Daniel Costa Almeida,202410143,5B,Informática,2024.2,30,2.65,66.2,1.99,37.9,5,1,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2024-07-05
3,Samuel Oliveira Rodrigues,202410312,2B,Administração,2024.2,31,9.96,100.0,1.61,5.0,6,1,0,BAIXO,20,Orientacao para rotina de estudos,2024-02-04
4,Ana Costa Monteiro,202410465,5A,Redes de Computadores,2024.1,33,7.73,59.3,1.75,48.6,7,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2026-12-24
5,João Gomes Teixeira,202410579,1B,Eletrotécnica,2024.2,25,7.0,100.0,0.0,23.3,5,1,0,BAIXO,20,Orientacao para rotina de estudos,2025-01-25
6,Thiago Ribeiro Lima,202410702,5B,Contabilidade,2024.1,27,8.25,83.1,4.4,31.0,3,1,0,BAIXO,20,Manter acompanhamento preventivo,2026-10-30
7,Fernanda Barbosa Nascimento,202410735,5A,Edificações,2024.2,30,8.31,71.3,2.43,44.6,1,0,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2025-11-03
8,Aline Oliveira Pereira,202410836,1B,Informática,2024.1,32,8.65,88.6,2.76,52.7,8,0,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2024-10-08
9,Fernanda Nascimento Teixeira,202410935,5B,Redes de Computadores,2024.2,24,7.0,95.2,3.5,22.2,7,0,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2026-03-22
10,Amanda Almeida Monteiro,202410955,5B,Informática,2024.2,28,5.55,91.2,4.24,48.8,9,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2026-12-30
11,Juliana Ribeiro Batista,202410975,3A,Redes de Computadores,2024.2,32,6.43,64.3,3.48,5.0,1,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia,2026-07-01
12,Jéssica Cardoso Souza,202411011,3B,Redes de Computadores,2024.1,20,5.35,70.1,0.73,21.1,6,0,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2026-06-13
13,Carla Rodrigues Monteiro,202411013,5A,Administração,2024.2,16,5.98,79.0,2.84,29.5,6,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2024-08-04
14,André Oliveira Pereira,202411112,1B,Administração,2024.1,18,5.89,80.2,3.21,5.0,2,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2026-05-27
15,Isabela Barbosa Ribeiro,202411610,1A,Pedagogia,2024.1,23,7.43,81.7,1.53,43.8,3,0,0,BAIXO,20,Orientacao para rotina de estudos,2024-04-04
16,Larissa Oliveira Monteiro,202411671,2B,Edificações,2024.1,31,2.09,79.3,6.18,52.1,5,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2026-10-08
17,Isabela Santos Almeida,202411850,5B,Enfermagem,2024.1,27,9.33,88.3,4.15,33.7,7,0,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2026-07-18
18,Aline Ferreira Teixeira,202411880,4B,Informática,2024.2,19,5.79,85.4,4.88,5.0,5,0,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico,2024-06-25
19,Maria Silva Costa,202412048,4A,Contabilidade,2024.2,19,6.16,45.6,2.29,36.8,3,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia,2024-06-14
20,Juliana Barbosa Mendes,202412057,4A,Logística,2024.2,27,7.16,72.9,5.14,58.6,8,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2025-09-15
21,Luana Costa Silva,202412380,1A,Redes de Computadores,2024.2,17,5.62,90.6,0.97,41.3,7,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2024-12-11
22,Ana Rodrigues Santos,202412464,1B,Eletrotécnica,2024.1,18,6.43,77.4,1.34,16.9,6,0,0,BAIXO,20,Orientacao para rotina de estudos,2026-06-02
23,Luana Pereira Mendes,202412482,1B,Contabilidade,2024.2,17,8.55,85.3,2.44,34.5,5,0,0,BAIXO,20,Manter acompanhamento preventivo,2025-10-04
24,Isabela Cardoso Batista,202412520,3A,Enfermagem,2024.2,30,9.21,77.0,1.67,43.9,3,0,0,BAIXO,20,Orientacao para rotina de estudos,2026-10-06
25,Maria Cardoso Rodrigues,202412565,1A,Pedagogia,2024.2,31,7.43,56.4,2.38,11.3,8,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2025-11-29
26,Beatriz Lima Teixeira,202412770,4B,Informática,2024.1,22,8.37,83.7,2.47,29.4,8,0,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2025-02-06
27,Fernanda Monteiro Mendes,202412779,5A,Logística,2024.1,33,7.0,62.7,2.12,53.2,3,0,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2025-08-30
28,Bruno Gomes Batista,202412810,3A,Redes de Computadores,2024.2,29,8.36,96.3,1.97,26.9,3,1,0,BAIXO,20,Orientacao para rotina de estudos,2024-02-23
29,Patrícia Almeida Pereira,202413075,2B,Edificações,2024.2,25,6.05,54.9,4.22,56.1,1,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia,2025-10-17
30,Vitória Ferreira Oliveira,202413407,5B,Edificações,2024.1,20,7.48,65.6,2.63,36.6,8,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2025-03-18
31,Eduarda Batista Araújo,202413440,1A,Eletrotécnica,2024.1,16,6.45,90.3,2.65,73.0,2,0,0,BAIXO,20,Manter acompanhamento preventivo,2026-02-05
32,Vinicius Ferreira Gomes,202413465,2A,Contabilidade,2024.2,21,4.66,88.9,3.0,35.7,9,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2024-06-27
33,Jéssica Nascimento Araújo,202413466,4B,Administração,2024.2,29,4.89,71.2,3.51,54.9,4,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia,2024-11-20
34,Carla Santos Araújo,202413561,3B,Contabilidade,2024.2,17,8.77,86.2,4.57,43.2,3,0,0,BAIXO,20,Manter acompanhamento preventivo,2025-09-02
35,Larissa Ferreira Monteiro,202413569,1A,Enfermagem,2024.1,23,9.05,100.0,2.55,21.8,9,0,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2025-01-25
36,Pedro Gomes Teixeira,202413572,1B,Logística,2024.1,34,8.77,100.0,1.09,54.0,9,1,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2024-12-15
37,Henrique Mendes Monteiro,202413655,2A,Edificações,2024.1,32,5.52,82.4,2.73,9.5,4,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2025-05-09
38,Gabriela Gomes Silva,202413783,4B,Redes de Computadores,2024.1,25,6.47,68.6,0.55,41.7,4,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2024-11-20
39,Fernanda Oliveira Almeida,202413809,2A,Pedagogia,2024.2,17,5.27,87.9,4.59,5.0,7,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2026-11-20
40,Daniel Silva Cardoso,202413848,1B,Edificações,2024.2,18,6.42,74.3,6.02,24.3,8,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2026-12-26
41,Patrícia Silva Lima,202414089,1B,Contabilidade,2024.1,18,7.86,100.0,5.89,39.4,1,0,0,BAIXO,20,Manter acompanhamento preventivo,2024-01-23
42,Jéssica Araújo Silva,202414096,3B,Redes de Computadores,2024.1,19,4.51,71.8,3.57,13.1,6,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia,2025-04-29
43,Samuel Santos Rodrigues,202414161,2B,Pedagogia,2024.2,30,8.84,95.1,3.55,9.9,4,1,0,BAIXO,20,Manter acompanhamento preventivo,2024-06-03
44,Rafael Batista Cardoso,202414295,5B,Agropecuária,2024.2,21,9.26,88.8,2.97,34.8,9,1,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2024-01-25
45,Eduarda Almeida Barbosa,202414336,1B,Administração,2024.2,19,3.63,98.1,0.12,8.4,8,0,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2025-03-01
46,Bruno Oliveira Barbosa,202414388,3A,Enfermagem,2024.1,31,6.14,67.5,2.63,28.3,7,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2024-04-30
47,Marcos Cardoso Ribeiro,202414530,3B,Edificações,2024.1,30,6.02,90.5,1.78,23.7,2,1,0,BAIXO,20,Orientacao para rotina de estudos,2025-01-24
48,Eduarda Monteiro Araújo,202414577,5B,Administração,2024.1,16,6.79,68.2,2.54,57.7,6,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia,2025-03-05
49,Marcos Santos Rodrigues,202414652,4B,Administração,2024.2,28,6.37,78.6,4.88,50.3,5,1,0,BAIXO,20,Manter acompanhamento preventivo,2024-06-01
50,Leonardo Monteiro Almeida,202414795,2B,Contabilidade,2024.2,29,6.77,72.9,2.61,34.8,5,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia,2024-03-12
51,Rafael Almeida Oliveira,202415179,3A,Edificações,2024.2,20,7.17,61.7,1.45,23.4,4,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2024-05-18
52,Rafaela Nascimento Barbosa,202415393,2B,Enfermagem,2024.1,20,8.11,76.0,3.37,47.9,6,0,0,BAIXO,20,Manter acompanhamento preventivo,2024-09-16
